episode_title,meal,ingredient,ownerphoto
Pilot,"/build/images/S1E1_2.jpg""",/build/images/S1E1_1.jpg,/build/images/S1E1_3.jpg
To love & to be loved,"/build/images/S1E2_2.jpg""",/build/images/S1E2_1.jpg,/build/images/S1E2_3.jpg
Red as blood,"/build/images/S1E3_2.jpg""",/build/images/S1E3_1.jpg,/build/images/S1E3_3.jpg
A few shades of yellow,"/build/images/S1E4_2.jpg""",/build/images/S1E4_1.jpg,/build/images/S1E4_3.jpg
The harmony of dual flavours,"/build/images/S1E5_2.jpg""",/build/images/S1E5_1.jpg,/build/images/S1E5_3.jpg
Red-white-green,"/build/images/S1E6_2.jpg""",/build/images/S1E6_1.jpg,/build/images/S1E6_3.jpg
Stay healthy,"/build/images/S1E7_2.jpg""",/build/images/S1E7_1.jpg,/build/images/S1E7_3.jpg
Winter is over,"/build/images/S1E8_2.jpg""",/build/images/S1E8_1.jpg,/build/images/S1E8_3.jpg
The first spring whistle,"/build/images/S2E1_2.jpg""",/build/images/S2E1_1.jpg,/build/images/S2E1_3.jpg
Bunnies do not eat meat but we do,"/build/images/S2E3_2.jpg""",/build/images/S2E3_1.jpg,/build/images/S2E3_3.jpg
Fresh spring grass,"/build/images/S2E4_2.jpg""",/build/images/S2E4_1.jpg,/build/images/S2E4_3.jpg
Sweet for the sweetest,"/build/images/S2E5_2.jpg""",/build/images/S2E5_1.jpg,/build/images/S2E5_3.jpg
Welcome to the Middle-East,"/build/images/S2E6_2.jpg""",/build/images/S2E6_1.jpg,/build/images/S2E6_3.jpg
Cozy breakfast in home office,"/build/images/S2E7_2.jpg""",/build/images/S2E7_1.jpg,/build/images/S2E7_3.jpg
Latin lover,"/build/images/S2E8_2.jpg""",/build/images/S2E8_1.jpg,/build/images/S2E8_3.jpg
May refurbishment,"/build/images/S2E9_2.jpg""",/build/images/S2E9_1.jpg,/build/images/S2E9_3.jpg
French pentecost,"/build/images/S3E1_2.jpg""",/build/images/S3E1_1.jpg,/build/images/S3E1_3.jpg
Viva la Mexico!,"/build/images/S3E2_2.jpg""",/build/images/S3E2_1.jpg,/build/images/S3E2_3.jpg
English elegance,"/build/images/S3E3_2.jpg""",/build/images/S3E3_1.jpg,/build/images/S3E3_3.jpg
Cool down or warm up?!,"/build/images/S3E4_2.jpg""",/build/images/S3E4_1.jpg,/build/images/S3E4_3.jpg
Dare to be colorful,"/build/images/S3E5_2.jpg""",/build/images/S3E5_1.jpg,/build/images/S3E5_3.jpg
Save time and relax,"/build/images/S3E6_2.jpg""",/build/images/S3E6_1.jpg,/build/images/S3E6_3.jpg
Colors of my flag,"/build/images/S3E7_2.jpg""",/build/images/S3E7_1.jpg,/build/images/S3E7_3.jpg
Bonjour!,"/build/images/S3E8_2.jpg""",/build/images/S3E8_1.jpg,/build/images/S3E8_3.jpg
12 yellow power,"/build/images/S3E9_2.jpg""",/build/images/S3E9_1.jpg,/build/images/S3E9_3.jpg
Creamy August,"/build/images/S3E10_2.jpg""",/build/images/S3E10_1.jpg,/build/images/S3E10_3.jpg
Not for face treatment,"/build/images/S3E11_2.jpg""",/build/images/S3E11_1.jpg,/build/images/S3E11_3.jpg
The day of the new bread,"/build/images/S3E12_2.jpg""",/build/images/S3E12_1.jpg,/build/images/S3E12_3.jpg
Winter is coming,"/build/images/S3E13_2.jpg""",/build/images/S3E13_1.jpg,/build/images/S3E13_3.jpg
Not necessarily a must,"/build/images/S4E1_2.jpg""",/build/images/S4E1_1.jpg,/build/images/S4E1_3.jpg
"Do not be cold, do picnic","/build/images/S4E2_2.jpg""",/build/images/S4E2_1.jpg,/build/images/S4E2_3.jpg
Autumn fusion,"/build/images/S4E3_2.jpg""",/build/images/S4E3_1.jpg,/build/images/S4E3_3.jpg
Warm & Thick,"/build/images/S4E4_2.jpg""",/build/images/S4E4_1.jpg,/build/images/S4E4_3.jpg
Liquid power,"/build/images/S4E5_2.jpg""",/build/images/S4E5_1.jpg,/build/images/S4E5_3.jpg
Breakfast Monsieur?,"/build/images/S4E6_2.jpg""",/build/images/S4E6_1.jpg,/build/images/S4E6_3.jpg
Not only for kids,"/build/images/S4E7_2.jpg""",/build/images/S4E7_1.jpg,/build/images/S4E7_3.jpg
Morning from the year '56,"/build/images/S4E8_2.jpg""",/build/images/S4E8_1.jpg,/build/images/S4E8_3.jpg
Trick or treat,"/build/images/S4E9_2.jpg""",/build/images/S4E9_1.jpg,/build/images/S4E9_3.jpg
Aromatic flat by a snack,"/build/images/S4E10_2.jpg""",/build/images/S4E10_1.jpg,/build/images/S4E10_3.jpg
What shall I bake for the charity event? ,"/build/images/S4E11_2.jpg""",/build/images/S4E11_1.jpg,/build/images/S4E11_3.jpg
Sweet treatment,"/build/images/S4E12_2.jpg""",/build/images/S4E12_1.jpg,/build/images/S4E12_3.jpg
Warm colors,"/build/images/S4E13_2.jpg""",/build/images/S4E13_1.jpg,/build/images/S4E13_3.jpg
Santa is coming to town,"/build/images/S5E1_2.jpg""",/build/images/S5E1_1.jpg,/build/images/S5E1_3.jpg
French winter,"/build/images/S5E2_2.jpg""",/build/images/S5E2_1.jpg,/build/images/S5E2_3.jpg
The visit of Shrtbsp's friend,"/build/images/S5E3_2.jpg""",/build/images/S5E3_1.jpg,/build/images/S5E3_3.jpg
Christmas is coming,"/build/images/S5E4_2.jpg""",/build/images/S5E4_1.jpg,/build/images/S5E4_3.jpg
2021,"/build/images/S5E5_2.jpg""",/build/images/S5E5_1.jpg,/build/images/S5E5_3.jpg